time,symbol,event,magic,ticket,side,volume,price,sl,tp,profit,reason,extra_json
2026-05-05T11:58:12Z,XAUUSD,OPEN,20260501,,BUY,0.03,4561.04,4560.04,4561.64,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T11:58:50Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4561.19,0.0,0.0,0.36,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T11:59:02Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4561.08,0.0,0.0,0.12,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T11:59:25Z,XAUUSD,OPEN,20260501,,BUY,0.03,4561.1,4560.1,4561.7,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T11:59:25Z,XAUUSD,OPEN,20260501,,BUY,0.03,4561.21,4560.21,4561.81,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T11:59:51Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4561.86,0.0,0.0,2.13,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:00:29Z,XAUUSD,OPEN,20260501,,BUY,0.03,4562.03,4561.03,4562.63,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:00:29Z,XAUUSD,OPEN,20260501,,BUY,0.03,4562.18,4561.18,4562.78,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:00:40Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4561.02,0.0,0.0,-3.21,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:06:30Z,XAUUSD,OPEN,20260501,,SELL,0.03,4557.76,4558.76,4557.16,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:06:31Z,XAUUSD,OPEN,20260501,,SELL,0.03,4557.46,4558.46,4556.86,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:06:31Z,XAUUSD,CLOSE,20260501,,BUY,0.03,4558.46,0.0,0.0,-3.36,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:06:32Z,XAUUSD,CLOSE,20260501,,BUY,0.03,4559.16,0.0,0.0,-4.68,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:21:26Z,XAUUSD,OPEN,20260501,,BUY,0.03,4568.13,4567.13,4568.73,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:21:26Z,XAUUSD,OPEN,20260501,,BUY,0.03,4567.8,4566.8,4568.4,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:21:30Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4568.04,0.0,0.0,0.72,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:21:30Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4568.45,0.0,0.0,1.05,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:35:59Z,XAUUSD,OPEN,20260501,,BUY,0.03,4569.32,4568.32,4569.92,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:35:59Z,XAUUSD,OPEN,20260501,,BUY,0.03,4569.43,4568.43,4570.03,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:36:11Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4568.29,0.0,0.0,-3.42,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:40:11Z,XAUUSD,OPEN,20260501,,BUY,0.03,4570.08,4569.08,4570.68,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:40:11Z,XAUUSD,OPEN,20260501,,BUY,0.03,4570.19,4569.19,4570.79,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:40:23Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4569.05,0.0,0.0,-3.42,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T12:57:23Z,XAUUSD,OPEN,20260501,,SELL,0.03,4563.49,4564.49,4562.89,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T12:58:04Z,XAUUSD,CLOSE,20260501,,BUY,0.03,4564.83,0.0,0.0,-4.02,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
2026-05-05T13:23:27Z,XAUUSD,OPEN,20260501,,BUY,0.03,4580.57,4579.57,4581.17,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T13:23:28Z,XAUUSD,OPEN,20260501,,BUY,0.03,4580.57,4579.57,4581.17,0.0,opened,"{""source"": ""aggressive_v3"", ""raw_event"": ""OPEN""}"
2026-05-05T13:23:33Z,XAUUSD,CLOSE,20260501,,SELL,0.03,4581.17,0.0,0.0,1.8,deal_close,"{""source"": ""aggressive_v3"", ""raw_event"": ""CLOSE""}"
